WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor_ID,BOQ_Code,Crew_ID
5.2 K.R. Puram Station Construction,A5310,Erection of Scaffolding and Formwork for Platform Level,50,A5300,4.3.1,CR-EREC-02
5.2 K.R. Puram Station Construction,A5320,Platform Level Slab & Beams - Reinforcement & Concreting,120,A5310,5.1.5,CR-CONC-S1
5.2 K.R. Puram Station Construction,A5330,"Installation of Bearings, Pedestals & Seismic Arrestors",90,START,4.1.11,CR-MECH-01
5.2 K.R. Puram Station Construction,A5340,Construction of Columns from Platform to Roof Level,150,START,4.1.7,CR-CONC-01
5.2 K.R. Puram Station Construction,A5350,Fabrication and Erection of Structural Steel for Roof,300,A5340,5.1.4,CR-STEEL-01
5.2 K.R. Puram Station Construction,A5360,"Roof Sheeting, Cladding, and Waterproofing Installation",1,START,6.2.2,CR-ROOF-01
5.2 K.R. Puram Station Construction,A5370,Architectural Works & Finishes**,225,START,5.1.7,CR-FACADE-01
5.2 K.R. Puram Station Construction,A5380,"MEP (Mechanical, Electrical, Plumbing) & Systems Installation**",1,START,5.1.13,CR-PLUMB-01
5.2 K.R. Puram Station Construction,A5390,External Area Development**,225,START,5.1.7,CR-FACADE-01
5.2 K.R. Puram Station Construction,A5400,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5410,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
5.3 Central Station Construction,A5420,WBS: 5.3 Central Station Construction**,50,START,4.3.1,CR-EREC-02
5.3 Central Station Construction,A5430,Site Establishment & Enabling Works**,30,START,1.1.2,CR-BLDG-01
5.3 Central Station Construction,A5440,"Mobilize Site Plant, Equipment & Personnel",25,START,1.1.4,CR-ROAD-01
5.3 Central Station Construction,A5450,"Establish Site Offices, Welfare Facilities & Laydown Areas",30,START,1.1.2,CR-BLDG-01
5.3 Central Station Construction,A5460,Perform Topographical Survey and Setting Out,13,START,2.1.1,CR-SURVEY-01
5.3 Central Station Construction,A5470,Implement Traffic & Pedestrian Management Plans,25,A5460,1.1.4,CR-ROAD-01
5.3 Central Station Construction,A5480,"Isolate, Disconnect, and Divert Existing Utilities",150,START,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5490,Erect Site Hoarding and Secure Site Perimeter,54,START,1.1.1,CR-FENCE-01
5.3 Central Station Construction,A5500,Substructure Works**,63,START,6.3.1,CR-ROAD-01
5.3 Central Station Construction,A5510,"Install Piling (Secant, Contiguous, or Bearing Piles as required)",2334,START,4.1.2,CR-REBAR-01
5.3 Central Station Construction,A5520,Perform Bulk Excavation to Formation Level,200,START,5.1.1,CR-EARTH-01
5.3 Central Station Construction,A5530,Install Temporary Shoring and Dewatering Systems,25,A5520,1.1.4,CR-ROAD-01
5.3 Central Station Construction,A5540,Install Blinding Concrete and Waterproofing Membrane,40,A5530,4.4.2,CR-WATER-01
5.3 Central Station Construction,A5550,Install Foundation Rebar Cages,2334,A5540,4.1.2,CR-REBAR-01
5.3 Central Station Construction,A5560,Pour Foundation Concrete (Raft / Pile Caps),150,A5550,4.1.7,CR-CONC-01
5.3 Central Station Construction,A5570,Construct Basement Retaining Walls and Columns,278,A5560,4.1.3,CR-CONC-01
5.3 Central Station Construction,A5580,Waterproof Substructure Walls,40,A5570,4.4.2,CR-WATER-01
5.3 Central Station Construction,A5590,Superstructure Works**,50,START,4.3.1,CR-EREC-02
5.3 Central Station Construction,A5600,Install Pedestals & Seismic Arrestors at Column Locations,90,A5580,4.1.11,CR-MECH-01
5.3 Central Station Construction,A5610,Erect Ground Floor Structural Frame (Columns & Core Walls),50,A5600,4.3.1,CR-EREC-02
5.3 Central Station Construction,A5620,"Install Formwork, Rebar, and MEP First Fix for Level 1 Slab",120,START,5.1.5,CR-CONC-S1
5.3 Central Station Construction,A5630,Pour Concrete for Level 1 Slab,120,START,5.1.5,CR-CONC-S1
5.3 Central Station Construction,A5640,Erect Level 1 Structural Frame (Columns & Walls),300,A5630,5.1.4,CR-STEEL-01
5.3 Central Station Construction,A5650,Repeat Slab & Frame Cycle for all Subsequent Floors...*,120,A5640,5.1.5,CR-CONC-S1
5.3 Central Station Construction,A5660,Erect Main Roof Structural Steel Frame,300,A5650,5.1.4,CR-STEEL-01
5.3 Central Station Construction,A5670,Install Roof Decking and Substrate,1,A5660,6.2.2,CR-ROOF-01
5.3 Central Station Construction,A5680,Building Envelope & Cladding**,225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5690,Install Roof Weatherproofing and Insulation System,1,A5670,6.2.2,CR-ROOF-01
5.3 Central Station Construction,A5700,Install External Façade Support System (Mullions/Transoms),225,A5690,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5710,"Install Glazing, Cladding Panels, and Louvres",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5720,Install External Doors and Entranceways,225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5730,Complete all External Sealant and Interface Works,225,A5720,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5740,Internal Works & Finishes**,1,START,6.2.3,CR-MASON-01
5.3 Central Station Construction,A5750,Install Internal Blockwork and Drywall Partitions,1,A5730,6.2.3,CR-MASON-01
5.3 Central Station Construction,A5760,Install Main Staircases and Complete Lift Shaft Construction,50,A5750,4.3.1,CR-EREC-02
5.3 Central Station Construction,A5770,"MEP First Fix (Containment, Ductwork, Pipework) in Walls & Ceilings",1,START,5.1.13,CR-PLUMB-01
5.3 Central Station Construction,A5780,Apply Plastering / Wall Finishes,225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5790,Install Suspended Ceilings and Access Panels,150,A5780,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5800,Install Raised Access Flooring / Floor Screed,120,A5790,5.1.5,CR-CONC-S1
5.3 Central Station Construction,A5810,"Install Floor Finishes (Tiling, Terrazzo, Vinyl)",1,START,5.1.9,CR-FLOOR-01
5.3 Central Station Construction,A5820,"Install Wall Finishes (Tiling, Panelling)",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5830,"Install Internal Doors, Frames, and Glazed Screens",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5840,Final Painting and Decorating,225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5850,"Mechanical, Electrical & Plumbing (MEP) & Systems Installation**",150,START,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5860,"Install Major Plant (HVAC Chillers, Air Handling Units, Switchgear)",150,START,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5870,"MEP Second Fix (Cabling, Sockets, Light Fixtures, Grilles, Sanitary Ware)",1,START,5.1.13,CR-PLUMB-01
5.3 Central Station Construction,A5880,Install Lifts and Escalators,1,START,5.1.14,CR-LIFT-01
5.3 Central Station Construction,A5890,"Install Fire Protection Systems (Sprinklers, Fire Alarms)",150,START,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5900,"Install Station Management Systems (BMS, CCTV, Public Address)",1,START,3.3.3,CR-ELEC-01
5.3 Central Station Construction,A5910,Install Passenger Information and Ticketing Systems,150,START,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A5920,External Works & Landscaping**,225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5930,Backfill and Grade around Station Structure,1,A5580,5.1.2,CR-PILE-01
5.3 Central Station Construction,A5940,Install Site-wide Stormwater Drainage and Utilities,1,A5930,6.1.2,CR-UTIL-02
5.3 Central Station Construction,A5950,"Construct Access Roads, Pavements, and Hard Landscaping",25,START,1.1.4,CR-ROAD-01
5.3 Central Station Construction,A5960,"Install External Lighting, Signage, and Street Furniture",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5970,Perform Topsoiling and Soft Landscaping (Planting),1,START,6.1.2,CR-UTIL-02
5.3 Central Station Construction,A5980,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
5.3 Central Station Construction,A5990,Perform MEP Systems Testing and Commissioning,150,A5910,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A6000,Conduct Integrated Systems Testing (Cause & Effect),150,A5990,3.3.2,CR-UTIL-01
5.3 Central Station Construction,A6010,Final Architectural Snagging and Defect Rectification,1,A6000,5.1.13,CR-PLUMB-01
5.3 Central Station Construction,A6020,Obtain Statutory Approvals and Certificate of Completion,0,A6010,N/A,N/A
5.3 Central Station Construction,A6030,Final Site Clean and Demobilization,54,A6020,1.1.1,CR-FENCE-01
5.3 Central Station Construction,A6040,Compile As-Built Drawings and Handover Documentation,20,A6030,N/A,N/A
"6.1 Earthworks, Formation & Drainage",A6050,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"6.1 Earthworks, Formation & Drainage",A6060,"Mobilize Plant, Equipment, and Labour for Earthworks Operations",25,START,1.1.4,CR-ROAD-01
"6.1 Earthworks, Formation & Drainage",A6070,"Survey and Set Out of Works Area, including Cut/Fill Limits and Drainage Lines",1,START,6.1.2,CR-UTIL-02
"6.1 Earthworks, Formation & Drainage",A6080,"Establish Environmental Controls (e.g., Silt Fencing, Settlement Ponds)",1,START,6.1.2,CR-UTIL-02
6.2 Depot Buildings & Workshop Structures,A6090,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
6.2 Depot Buildings & Workshop Structures,A6100,WBS: 6.2 Depot Buildings & Workshop Structures**,-1,START,N/A,N/A
6.2 Depot Buildings & Workshop Structures,A6110,Pre-Construction & Mobilization**,30,START,N/A,N/A
6.2 Depot Buildings & Workshop Structures,A6120,Submit & Obtain Approval for Construction Method Statements & Shop Drawings,10,START,N/A,N/A
6.2 Depot Buildings & Workshop Structures,A6130,"Mobilize Site Facilities, Plant & Personnel",25,START,1.1.4,CR-ROAD-01
6.2 Depot Buildings & Workshop Structures,A6140,"Establish Temporary Utilities (Power, Water, Site Offices)",30,START,1.1.2,CR-BLDG-01
6.2 Depot Buildings & Workshop Structures,A6150,Perform Initial Site Survey & Setting Out of Building Footprints,30,START,1.1.2,CR-BLDG-01
6.2 Depot Buildings & Workshop Structures,A6160,"Site Clearance, Grubbing, and Removal of Obstructions",34,START,3.2.2,CR-DEMO-01
6.2 Depot Buildings & Workshop Structures,A6170,Substructure & Foundations**,63,START,6.3.1,CR-ROAD-01
6.2 Depot Buildings & Workshop Structures,A6180,Bulk Excavation to Formation Level,200,START,5.1.1,CR-EARTH-01
6.2 Depot Buildings & Workshop Structures,A6190,"Excavate for Foundations, Ground Beams & Service Trenches",200,START,3.3.1,CR-EARTH-02
6.2 Depot Buildings & Workshop Structures,A6200,"Install Underground Services (Drainage, Earthing, Below-Slab Conduits)",150,START,3.3.2,CR-UTIL-01
6.2 Depot Buildings & Workshop Structures,A6210,Lay Blinding Concrete & Waterproofing Membrane,40,START,4.4.2,CR-WATER-01
6.2 Depot Buildings & Workshop Structures,A6220,Fabricate & Fix Rebar for Foundations & Pile Caps,1,A6210,5.1.3,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6230,Install Formwork for Foundations & Ground Beams,120,A6220,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6240,"Install Cast-in Items (Holding Down Bolts, Plates for Pedestals & Seismic Arrestors)**",90,START,4.1.11,CR-MECH-01
6.2 Depot Buildings & Workshop Structures,A6250,Pour Concrete for Foundations & Plinths,120,START,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6260,Strip Formwork & Apply Curing Compound,120,A6250,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6270,"Backfill, Grade, and Compact Hardcore for Ground Floor Slab",120,START,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6280,Install Reinforcement & Formwork for Ground Floor Slab,120,START,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6290,Pour Concrete for Ground Floor Slab & Apply Finish,120,A6280,5.1.5,CR-CONC-S1
6.2 Depot Buildings & Workshop Structures,A6300,Superstructure**,225,START,6.2.1,CR-STEEL-01
6.2 Depot Buildings & Workshop Structures,A6310,"Procure, Fabricate & Deliver Structural Steel",300,START,5.1.4,CR-STEEL-01
6.2 Depot Buildings & Workshop Structures,A6320,Erect Primary Structural Steel Frame (Columns & Rafters),300,START,5.1.4,CR-STEEL-01
6.2 Depot Buildings & Workshop Structures,A6330,"Erect Secondary Steel (Purlins, Girts, Bracing)",300,START,5.1.4,CR-STEEL-01
6.2 Depot Buildings & Workshop Structures,A6340,"Install Roof Cladding, Gutters & Waterproofing System",1,START,6.2.2,CR-ROOF-01
6.2 Depot Buildings & Workshop Structures,A6350,"Install Wall Cladding, Louvers & Vents",225,START,5.1.7,CR-FACADE-01
6.2 Depot Buildings & Workshop Structures,A6360,Construct Internal Masonry / Blockwork Walls,1,START,6.2.3,CR-MASON-01
6.2 Depot Buildings & Workshop Structures,A6370,"Install External Doors, Windows & Glazing",225,START,5.1.7,CR-FACADE-01
6.2 Depot Buildings & Workshop Structures,A6380,MEP & Internal Finishes (First Fix)**,1,START,5.1.13,CR-PLUMB-01
6.2 Depot Buildings & Workshop Structures,A6390,Workshop Equipment & MEP (Second Fix)**,1,START,5.1.13,CR-PLUMB-01
6.2 Depot Buildings & Workshop Structures,A6400,Architectural Finishes & Fit-Out**,225,START,5.1.7,CR-FACADE-01
6.2 Depot Buildings & Workshop Structures,A6410,External Works**,225,START,5.1.7,CR-FACADE-01
6.2 Depot Buildings & Workshop Structures,A6420,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
6.3 Internal Roads & Ancillary Works,A6430,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
6.3 Internal Roads & Ancillary Works,A6440,Pre-Construction & Enabling Works**,34,START,3.2.2,CR-DEMO-01
6.3 Internal Roads & Ancillary Works,A6450,"Procure and Deliver Long-Lead Items (e.g., Stormwater Pipes, Light Poles)",90,START,N/A,N/A
6.3 Internal Roads & Ancillary Works,A6460,"Mobilize Site Team, Plant & Equipment for Road Works",25,START,1.1.4,CR-ROAD-01
6.3 Internal Roads & Ancillary Works,A6470,"Survey, Set Out, and Peg Road Alignments, Levels, and Drainage Lines",13,START,2.1.1,CR-SURVEY-01
6.3 Internal Roads & Ancillary Works,A6480,Clear and Grub Site along Road Corridors,40,START,1.1.3,CR-EARTH-01
6.3 Internal Roads & Ancillary Works,A6490,Strip and Stockpile Topsoil for Later Re-use,100,A6480,4.1.4,CR-EARTH-02
6.3 Internal Roads & Ancillary Works,A6500,Demolish any Existing Conflicting Pavements or Structures,34,A6490,3.2.2,CR-DEMO-01
6.3 Internal Roads & Ancillary Works,A6510,Earthworks & Sub-grade Preparation**,34,START,3.2.2,CR-DEMO-01
6.3 Internal Roads & Ancillary Works,A6520,Bulk Excavation (Cut) to Formation Level,200,A6500,5.1.1,CR-EARTH-01
6.3 Internal Roads & Ancillary Works,A6530,"Import, Place, and Compact Engineered Fill to Formation Level",240,START,6.1.1,CR-EARTH-01
6.3 Internal Roads & Ancillary Works,A6540,Proof Roll and Test Sub-grade for Compaction and CBR,20,START,6.3.3,CR-PAVE-01
6.3 Internal Roads & Ancillary Works,A6550,Final Grade and Trim Sub-grade to Lines and Levels,120,A6540,5.1.5,CR-CONC-S1
6.3 Internal Roads & Ancillary Works,A6560,Underground Services & Drainage**,1,START,6.1.2,CR-UTIL-02
6.3 Internal Roads & Ancillary Works,A6570,Excavate Trenches for Stormwater Drainage and Utility Crossings,200,A6550,3.3.1,CR-EARTH-02
6.3 Internal Roads & Ancillary Works,A6580,Install Bedding Material for Pipes and Ducts,150,A6570,3.3.2,CR-UTIL-01
6.3 Internal Roads & Ancillary Works,A6590,Lay Stormwater Pipes and Culverts,150,A6580,3.3.2,CR-UTIL-01
6.3 Internal Roads & Ancillary Works,A6600,"Construct Manholes, Catch Basins, and Headwalls",150,START,3.3.2,CR-UTIL-01
6.3 Internal Roads & Ancillary Works,A6610,Install Ducts for Electrical and Communication Services Crossings,150,START,3.3.2,CR-UTIL-01
6.3 Internal Roads & Ancillary Works,A6620,Backfill and Compact all Trenches and Service Crossings,200,A6610,3.3.1,CR-EARTH-02
6.3 Internal Roads & Ancillary Works,A6630,Pavement Construction**,20,START,6.3.3,CR-PAVE-01
6.3 Internal Roads & Ancillary Works,A6640,"Place, Spread, and Compact Sub-base Course Material",120,START,5.1.5,CR-CONC-S1
6.3 Internal Roads & Ancillary Works,A6650,"Place, Spread, and Compact Base Course Material",120,START,5.1.5,CR-CONC-S1
6.3 Internal Roads & Ancillary Works,A6660,Conduct Field Density Tests for Sub-base and Base Course Layers,120,START,5.1.5,CR-CONC-S1
6.3 Internal Roads & Ancillary Works,A6670,Apply Prime Coat to Base Course,120,A6660,5.1.5,CR-CONC-S1
6.3 Internal Roads & Ancillary Works,A6680,Apply Tack Coat,40,A6670,4.4.2,CR-WATER-01
6.3 Internal Roads & Ancillary Works,A6690,Lay and Compact Asphaltic Concrete - Binder Course,20,A6680,6.3.3,CR-PAVE-01
6.3 Internal Roads & Ancillary Works,A6700,Lay and Compact Asphaltic Concrete - Wearing Course,1,A6690,6.3.4,CR-PAVE-01
6.3 Internal Roads & Ancillary Works,A6710,Ancillary Concrete & Structural Works**,1,START,6.2.3,CR-MASON-01
6.3 Internal Roads & Ancillary Works,A6720,Install Formwork and Rebar for Kerbstones and Gutters,1,A6700,6.3.5,CR-CONC-03
6.3 Internal Roads & Ancillary Works,A6730,Pour Concrete for Kerbstones and Gutters,1,A6720,6.3.5,CR-CONC-03
6.3 Internal Roads & Ancillary Works,A6740,Construct Concrete Footpaths and Sidewalks,1,A6730,6.3.5,CR-CONC-03
6.3 Internal Roads & Ancillary Works,A6750,Construct Foundations for Street Lighting Poles and Signage,278,A6740,4.1.3,CR-CONC-01
6.3 Internal Roads & Ancillary Works,A6760,Construct Concrete Pedestals & Supports for Ancillary Structures,90,A6750,4.1.11,CR-MECH-01
6.3 Internal Roads & Ancillary Works,A6770,Ancillary Finishes & MEP**,225,START,5.1.7,CR-FACADE-01
6.3 Internal Roads & Ancillary Works,A6780,Erect Street Lighting Poles and Install Luminaires,300,A6760,5.1.4,CR-STEEL-01
6.3 Internal Roads & Ancillary Works,A6790,Install and Terminate Electrical Cables for Street Lighting,1,A6780,3.3.3,CR-ELEC-01
6.3 Internal Roads & Ancillary Works,A6800,Install Roadside Guardrails and Safety Barriers,25,A6790,1.1.4,CR-ROAD-01
6.3 Internal Roads & Ancillary Works,A6810,Erect Permanent Road Signage,25,A6800,1.1.4,CR-ROAD-01
6.3 Internal Roads & Ancillary Works,A6820,Apply Thermoplastic Road Markings and Lane Delineation,1,A6810,6.3.5,CR-CONC-03
6.3 Internal Roads & Ancillary Works,A6830,Install Fencing and Gates along Road Corridors,25,A6820,1.1.4,CR-ROAD-01
6.3 Internal Roads & Ancillary Works,A6840,Landscaping & Final Reinstatement**,34,START,3.2.2,CR-DEMO-01
6.3 Internal Roads & Ancillary Works,A6850,Spread Stockpiled Topsoil to Verges and Landscaped Areas,1,A6830,6.3.5,CR-CONC-03
6.3 Internal Roads & Ancillary Works,A6860,"Carry out Final Landscaping, Seeding, and Planting",1,START,6.1.2,CR-UTIL-02
6.3 Internal Roads & Ancillary Works,A6870,Final Grading and Site Clean-up,40,START,1.1.3,CR-EARTH-01
6.3 Internal Roads & Ancillary Works,A6880,"Testing, Commissioning & Handover**",225,START,5.1.7,CR-FACADE-01
6.3 Internal Roads & Ancillary Works,A6890,Test and Commission Street Lighting System,225,A6870,5.1.7,CR-FACADE-01
6.3 Internal Roads & Ancillary Works,A6900,Conduct Joint Site Inspection and Walkdown with Engineer/Client,1,A6890,N/A,N/A
6.3 Internal Roads & Ancillary Works,A6910,Rectify Punch List Items,1,A6900,3.3.3,CR-ELEC-01
6.3 Internal Roads & Ancillary Works,A6920,Prepare and Submit As-Built Drawings and Handover Documentation,30,A6910,N/A,N/A
6.3 Internal Roads & Ancillary Works,A6930,"Demobilize all Remaining Plant, Equipment, and Personnel",34,START,3.2.2,CR-DEMO-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6940,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6950,Initial Coordination & Planning**,10,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6960,Establish and Agree on Interface Management Plan (IMP) with all System Contractors,20,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6970,"Conduct Kick-Off Interface Workshops with Track, Power, and Signaling Contractors",5,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6980,Develop and Agree on Master Interface Control Document (ICD) Framework,20,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6990,Establish and Agree on a Common Data Environment (CDE) for Document Exchange,15,A6980,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7000,Design & Engineering Interface**,-1,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7010,Receive and Review System Contractors' 'Approved for Construction' (AFC) Drawings,10,A6990,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7020,"Incorporate System Requirements into Civil/Structural Designs (e.g., duct banks, equipment rooms, cable routes)",15,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7030,Develop and Submit Combined Services Drawings (CSD) for System Contractor Review,10,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7040,Conduct CSD Clash Detection and Resolution Workshops,-1,A7030,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7050,Obtain Final Approval of all Interface CSDs from relevant parties,0,A7040,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7060,Pre-Construction & Mobilization Interface**,0,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7070,Coordinate and Agree on Detailed Phased Installation Schedule with all System Contractors,10,A7050,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7080,"Define and Agree on Site Access Protocols, Laydown Areas, and Permit to Work Procedures",10,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7090,"Jointly Review and Approve Health, Safety & Environmental (HSE) Interface Plans",10,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7100,Construction Interface & Area Handover**,0,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7110,Survey and Set Out locations for System Contractor Equipment Foundations and Embedments,30,START,1.1.2,CR-BLDG-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7120,"Construct Foundations, Plinths, and **Pedestals** for Trackside Equipment",90,START,4.1.11,CR-MECH-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7130,"Construct Foundations, Plinths, and **Pedestals** for Power Supply Equipment (e.g., substations, transformers)",90,START,4.1.11,CR-MECH-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7140,"Construct Foundations, Plinths, and **Pedestals** for Signaling Equipment (e.g., signal posts, location cases)",90,START,4.1.11,CR-MECH-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7150,"Install required embedded items (conduits, cable trays, earthing) as per approved CSDs",300,START,4.4.3,CR-ELEC-02
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7160,Conduct Joint Quality Inspection and Acceptance of Civil Interface Works,5,START,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7170,Formal Handover of Certified Work Area to Track Contractor,0,A7160,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7180,Formal Handover of Certified Work Area to Power Contractor,0,A7170,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7190,Formal Handover of Certified Work Area to Signaling Contractor,0,A7180,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7200,"Testing, Commissioning & Final Interface**",225,START,5.1.7,CR-FACADE-01
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7210,Provide Site Support and Access during System Installation and Testing Phases (Level of Effort),-1,A7190,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7220,Participate in Joint Inspections during System Integration Testing (SIT),-1,A7210,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7230,Manage and Close-Out Interface-Related Defects and Punch List Items,-1,A7220,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7240,Compile and Submit As-Built Records for all Physical Interface Points,10,A7230,N/A,N/A
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7250,Achieve Final Sign-off on Interface Completion from all System Contractors,0,A7240,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7260,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,0,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7270,Preparation & Planning Phase**,-1,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7280,Develop and Submit Overall Testing & Commissioning Strategy and Plan,15,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7290,Prepare and Submit System-Specific Pre-Commissioning Procedures & ITPs (Inspection and Test Plans),15,A7280,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7300,Prepare and Submit System-Specific Commissioning and Start-up Procedures,20,A7290,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7310,Compile and Submit Draft Operation & Maintenance (O&M) Manuals for Review,10,A7300,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7320,Define and Agree on Handover Protocol and Documentation Requirements with Client,10,A7310,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7330,Procure and Calibrate Specialist Testing Equipment,30,A7320,1.1.2,CR-BLDG-01
"7.2 Testing, Commissioning Support & Handover",A7340,Pre-Commissioning & Static Testing Phase**,90,START,4.1.11,CR-MECH-01
"7.2 Testing, Commissioning Support & Handover",A7350,Achieve Mechanical Completion (MC) on a System-by-System Basis,0,A7330,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7360,Conduct Joint Construction Punch-Listing Walkdowns with Client/Engineer,5,A7350,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7370,Rectify all 'Category A' Punch List Items (Preventing Commissioning),1,A7360,5.1.13,CR-PLUMB-01
"7.2 Testing, Commissioning Support & Handover",A7380,"Perform Static & Dead System Checks (e.g., Cable Continuity/Megger Tests, Pipe Pressure/Hydro Tests)",150,START,3.3.2,CR-UTIL-01
"7.2 Testing, Commissioning Support & Handover",A7390,Complete and Sign-Off all Pre-Commissioning ITPs and Checksheets,0,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7400,Issue System-Specific Mechanical Completion Certificates (MCC),0,A7390,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7410,Commissioning & Dynamic Testing Phase**,90,START,4.1.11,CR-MECH-01
"7.2 Testing, Commissioning Support & Handover",A7420,System Energization and First Start-up (on a System-by-System Basis),400,A7400,4.2.3,CR-EREC-01
"7.2 Testing, Commissioning Support & Handover",A7430,"Perform Dynamic & Live System Functional Tests (e.g., Loop Tuning, Equipment Start/Stop, Sequence Checks)",50,START,4.3.1,CR-EREC-02
"7.2 Testing, Commissioning Support & Handover",A7440,Conduct System Integration Testing (SIT) to Verify Interface Functionality Between Systems,15,START,N/A,N/A
"7.2 Testing, Commissioning Support & Handover",A7450,"Conduct Performance & Endurance Testing (e.g., Trial Operations, Load Bank Testing)",90,START,4.1.11,CR-MECH-01
"7.2 Testing, Commissioning Support & Handover",A7460,Identify and Log Commissioning-Related Punch List Items,-1,START,N/A,N/A
