WBS_Name,Activity_ID,Activity_Name,Duration_Days,Predecessor
5.3 Central Station Construction,A5490,Erect Site Hoarding and Secure Site Perimeter,1,Isolate
5.3 Central Station Construction,A5500,Substructure Works**,1,START
5.3 Central Station Construction,A5510,"Install Piling (Secant, Contiguous, or Bearing Piles as required)",1,START
5.3 Central Station Construction,A5520,Perform Bulk Excavation to Formation Level,1,Install Piling (Secant
5.3 Central Station Construction,A5530,Install Temporary Shoring and Dewatering Systems,1,Perform Bulk Excavation to Formation Level
5.3 Central Station Construction,A5540,Install Blinding Concrete and Waterproofing Membrane,1,Install Temporary Shoring and Dewatering Systems
5.3 Central Station Construction,A5550,Install Foundation Rebar Cages,1,Install Blinding Concrete and Waterproofing Membrane
5.3 Central Station Construction,A5560,Pour Foundation Concrete (Raft / Pile Caps),1,Install Foundation Rebar Cages
5.3 Central Station Construction,A5570,Construct Basement Retaining Walls and Columns,1,Pour Foundation Concrete (Raft / Pile Caps)
5.3 Central Station Construction,A5580,Waterproof Substructure Walls,1,Construct Basement Retaining Walls and Columns
5.3 Central Station Construction,A5590,Superstructure Works**,1,START
5.3 Central Station Construction,A5600,Install Pedestals & Seismic Arrestors at Column Locations,1,Waterproof Substructure Walls
5.3 Central Station Construction,A5610,Erect Ground Floor Structural Frame (Columns & Core Walls),1,Install Pedestals & Seismic Arrestors at Column Locations
5.3 Central Station Construction,A5620,"Install Formwork, Rebar, and MEP First Fix for Level 1 Slab",1,START
5.3 Central Station Construction,A5630,Pour Concrete for Level 1 Slab,1,Install Formwork
5.3 Central Station Construction,A5640,Erect Level 1 Structural Frame (Columns & Walls),1,Pour Concrete for Level 1 Slab
5.3 Central Station Construction,A5650,Repeat Slab & Frame Cycle for all Subsequent Floors...*,1,Erect Level 1 Structural Frame (Columns & Walls)
5.3 Central Station Construction,A5660,Erect Main Roof Structural Steel Frame,1,Repeat Slab & Frame Cycle for all Subsequent Floors...*
5.3 Central Station Construction,A5670,Install Roof Decking and Substrate,1,Erect Main Roof Structural Steel Frame
5.3 Central Station Construction,A5680,Building Envelope & Cladding**,1,START
5.3 Central Station Construction,A5690,Install Roof Weatherproofing and Insulation System,1,Install Roof Decking and Substrate
5.3 Central Station Construction,A5700,Install External Façade Support System (Mullions/Transoms),1,Install Roof Weatherproofing and Insulation System
5.3 Central Station Construction,A5710,"Install Glazing, Cladding Panels, and Louvres",1,START
5.3 Central Station Construction,A5720,Install External Doors and Entranceways,1,Install Glazing
5.3 Central Station Construction,A5730,Complete all External Sealant and Interface Works,1,Install External Doors and Entranceways
5.3 Central Station Construction,A5740,Internal Works & Finishes**,1,START
5.3 Central Station Construction,A5750,Install Internal Blockwork and Drywall Partitions,1,Complete all External Sealant and Interface Works
5.3 Central Station Construction,A5760,Install Main Staircases and Complete Lift Shaft Construction,1,Install Internal Blockwork and Drywall Partitions
5.3 Central Station Construction,A5770,"MEP First Fix (Containment, Ductwork, Pipework) in Walls & Ceilings",1,START
5.3 Central Station Construction,A5780,Apply Plastering / Wall Finishes,1,MEP First Fix (Containment
5.3 Central Station Construction,A5790,Install Suspended Ceilings and Access Panels,1,Apply Plastering / Wall Finishes
5.3 Central Station Construction,A5800,Install Raised Access Flooring / Floor Screed,1,Install Suspended Ceilings and Access Panels
5.3 Central Station Construction,A5810,"Install Floor Finishes (Tiling, Terrazzo, Vinyl)",1,START
5.3 Central Station Construction,A5820,"Install Wall Finishes (Tiling, Panelling)",1,START
5.3 Central Station Construction,A5830,"Install Internal Doors, Frames, and Glazed Screens",1,START
5.3 Central Station Construction,A5840,Final Painting and Decorating,1,Install Internal Doors
5.3 Central Station Construction,A5850,"Mechanical, Electrical & Plumbing (MEP) & Systems Installation**",1,START
5.3 Central Station Construction,A5860,"Install Major Plant (HVAC Chillers, Air Handling Units, Switchgear)",1,START
5.3 Central Station Construction,A5870,"MEP Second Fix (Cabling, Sockets, Light Fixtures, Grilles, Sanitary Ware)",1,START
5.3 Central Station Construction,A5880,Install Lifts and Escalators,1,MEP Second Fix (Cabling
5.3 Central Station Construction,A5890,"Install Fire Protection Systems (Sprinklers, Fire Alarms)",1,START
5.3 Central Station Construction,A5900,"Install Station Management Systems (BMS, CCTV, Public Address)",1,START
5.3 Central Station Construction,A5910,Install Passenger Information and Ticketing Systems,1,Install Station Management Systems (BMS
5.3 Central Station Construction,A5920,External Works & Landscaping**,1,START
5.3 Central Station Construction,A5930,Backfill and Grade around Station Structure,1,Install Passenger Information and Ticketing Systems
5.3 Central Station Construction,A5940,Install Site-wide Stormwater Drainage and Utilities,1,Backfill and Grade around Station Structure
5.3 Central Station Construction,A5950,"Construct Access Roads, Pavements, and Hard Landscaping",1,START
5.3 Central Station Construction,A5960,"Install External Lighting, Signage, and Street Furniture",1,START
5.3 Central Station Construction,A5970,Perform Topsoiling and Soft Landscaping (Planting),1,Install External Lighting
5.3 Central Station Construction,A5980,"Testing, Commissioning & Handover**",1,START
5.3 Central Station Construction,A5990,Perform MEP Systems Testing and Commissioning,1,Perform Topsoiling and Soft Landscaping (Planting)
5.3 Central Station Construction,A6000,Conduct Integrated Systems Testing (Cause & Effect),1,Perform MEP Systems Testing and Commissioning
5.3 Central Station Construction,A6010,Final Architectural Snagging and Defect Rectification,1,Conduct Integrated Systems Testing (Cause & Effect)
5.3 Central Station Construction,A6020,Obtain Statutory Approvals and Certificate of Completion,1,Final Architectural Snagging and Defect Rectification
5.3 Central Station Construction,A6030,Final Site Clean and Demobilization,1,Obtain Statutory Approvals and Certificate of Completion
5.3 Central Station Construction,A6040,Compile As-Built Drawings and Handover Documentation,1,Final Site Clean and Demobilization
"6.1 Earthworks, Formation & Drainage",A6050,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"6.1 Earthworks, Formation & Drainage",A6060,"Mobilize Plant, Equipment, and Labour for Earthworks Operations",1,START
"6.1 Earthworks, Formation & Drainage",A6070,"Survey and Set Out of Works Area, including Cut/Fill Limits and Drainage Lines",1,START
"6.1 Earthworks, Formation & Drainage",A6080,"Establish Environmental Controls (e.g., Silt Fencing, Settlement Ponds)",1,START
6.2 Depot Buildings & Workshop Structures,A6090,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
6.2 Depot Buildings & Workshop Structures,A6100,WBS: 6.2 Depot Buildings & Workshop Structures**,1,START
6.2 Depot Buildings & Workshop Structures,A6110,Pre-Construction & Mobilization**,1,START
6.2 Depot Buildings & Workshop Structures,A6120,Submit & Obtain Approval for Construction Method Statements & Shop Drawings,1,START
6.2 Depot Buildings & Workshop Structures,A6130,"Mobilize Site Facilities, Plant & Personnel",1,START
6.2 Depot Buildings & Workshop Structures,A6140,"Establish Temporary Utilities (Power, Water, Site Offices)",1,START
6.2 Depot Buildings & Workshop Structures,A6150,Perform Initial Site Survey & Setting Out of Building Footprints,1,Establish Temporary Utilities (Power
6.2 Depot Buildings & Workshop Structures,A6160,"Site Clearance, Grubbing, and Removal of Obstructions",1,START
6.2 Depot Buildings & Workshop Structures,A6170,Substructure & Foundations**,1,START
6.2 Depot Buildings & Workshop Structures,A6180,Bulk Excavation to Formation Level,1,Site Clearance
6.2 Depot Buildings & Workshop Structures,A6190,"Excavate for Foundations, Ground Beams & Service Trenches",1,START
6.2 Depot Buildings & Workshop Structures,A6200,"Install Underground Services (Drainage, Earthing, Below-Slab Conduits)",1,START
6.2 Depot Buildings & Workshop Structures,A6210,Lay Blinding Concrete & Waterproofing Membrane,1,Install Underground Services (Drainage
6.2 Depot Buildings & Workshop Structures,A6220,Fabricate & Fix Rebar for Foundations & Pile Caps,1,Lay Blinding Concrete & Waterproofing Membrane
6.2 Depot Buildings & Workshop Structures,A6230,Install Formwork for Foundations & Ground Beams,1,Fabricate & Fix Rebar for Foundations & Pile Caps
6.2 Depot Buildings & Workshop Structures,A6240,"Install Cast-in Items (Holding Down Bolts, Plates for Pedestals & Seismic Arrestors)**",1,START
6.2 Depot Buildings & Workshop Structures,A6250,Pour Concrete for Foundations & Plinths,1,Install Cast-in Items (Holding Down Bolts
6.2 Depot Buildings & Workshop Structures,A6260,Strip Formwork & Apply Curing Compound,1,Pour Concrete for Foundations & Plinths
6.2 Depot Buildings & Workshop Structures,A6270,"Backfill, Grade, and Compact Hardcore for Ground Floor Slab",1,START
6.2 Depot Buildings & Workshop Structures,A6280,Install Reinforcement & Formwork for Ground Floor Slab,1,Backfill
6.2 Depot Buildings & Workshop Structures,A6290,Pour Concrete for Ground Floor Slab & Apply Finish,1,Install Reinforcement & Formwork for Ground Floor Slab
6.2 Depot Buildings & Workshop Structures,A6300,Superstructure**,1,START
6.2 Depot Buildings & Workshop Structures,A6310,"Procure, Fabricate & Deliver Structural Steel",1,START
6.2 Depot Buildings & Workshop Structures,A6320,Erect Primary Structural Steel Frame (Columns & Rafters),1,Procure
6.2 Depot Buildings & Workshop Structures,A6330,"Erect Secondary Steel (Purlins, Girts, Bracing)",1,START
6.2 Depot Buildings & Workshop Structures,A6340,"Install Roof Cladding, Gutters & Waterproofing System",1,START
6.2 Depot Buildings & Workshop Structures,A6350,"Install Wall Cladding, Louvers & Vents",1,START
6.2 Depot Buildings & Workshop Structures,A6360,Construct Internal Masonry / Blockwork Walls,1,Install Wall Cladding
6.2 Depot Buildings & Workshop Structures,A6370,"Install External Doors, Windows & Glazing",1,START
6.2 Depot Buildings & Workshop Structures,A6380,MEP & Internal Finishes (First Fix)**,1,START
6.2 Depot Buildings & Workshop Structures,A6390,Workshop Equipment & MEP (Second Fix)**,1,START
6.2 Depot Buildings & Workshop Structures,A6400,Architectural Finishes & Fit-Out**,1,START
6.2 Depot Buildings & Workshop Structures,A6410,External Works**,1,START
6.2 Depot Buildings & Workshop Structures,A6420,"Testing, Commissioning & Handover**",1,START
6.3 Internal Roads & Ancillary Works,A6430,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
6.3 Internal Roads & Ancillary Works,A6440,Pre-Construction & Enabling Works**,1,START
6.3 Internal Roads & Ancillary Works,A6450,"Procure and Deliver Long-Lead Items (e.g., Stormwater Pipes, Light Poles)",1,START
6.3 Internal Roads & Ancillary Works,A6460,"Mobilize Site Team, Plant & Equipment for Road Works",1,START
6.3 Internal Roads & Ancillary Works,A6470,"Survey, Set Out, and Peg Road Alignments, Levels, and Drainage Lines",1,START
6.3 Internal Roads & Ancillary Works,A6480,Clear and Grub Site along Road Corridors,1,Survey
6.3 Internal Roads & Ancillary Works,A6490,Strip and Stockpile Topsoil for Later Re-use,1,Clear and Grub Site along Road Corridors
6.3 Internal Roads & Ancillary Works,A6500,Demolish any Existing Conflicting Pavements or Structures,1,Strip and Stockpile Topsoil for Later Re-use
6.3 Internal Roads & Ancillary Works,A6510,Earthworks & Sub-grade Preparation**,1,START
6.3 Internal Roads & Ancillary Works,A6520,Bulk Excavation (Cut) to Formation Level,1,Demolish any Existing Conflicting Pavements or Structures
6.3 Internal Roads & Ancillary Works,A6530,"Import, Place, and Compact Engineered Fill to Formation Level",1,START
6.3 Internal Roads & Ancillary Works,A6540,Proof Roll and Test Sub-grade for Compaction and CBR,1,Import
6.3 Internal Roads & Ancillary Works,A6550,Final Grade and Trim Sub-grade to Lines and Levels,1,Proof Roll and Test Sub-grade for Compaction and CBR
6.3 Internal Roads & Ancillary Works,A6560,Underground Services & Drainage**,1,START
6.3 Internal Roads & Ancillary Works,A6570,Excavate Trenches for Stormwater Drainage and Utility Crossings,1,Final Grade and Trim Sub-grade to Lines and Levels
6.3 Internal Roads & Ancillary Works,A6580,Install Bedding Material for Pipes and Ducts,1,Excavate Trenches for Stormwater Drainage and Utility Crossings
6.3 Internal Roads & Ancillary Works,A6590,Lay Stormwater Pipes and Culverts,1,Install Bedding Material for Pipes and Ducts
6.3 Internal Roads & Ancillary Works,A6600,"Construct Manholes, Catch Basins, and Headwalls",1,START
6.3 Internal Roads & Ancillary Works,A6610,Install Ducts for Electrical and Communication Services Crossings,1,Construct Manholes
6.3 Internal Roads & Ancillary Works,A6620,Backfill and Compact all Trenches and Service Crossings,1,Install Ducts for Electrical and Communication Services Crossings
6.3 Internal Roads & Ancillary Works,A6630,Pavement Construction**,1,START
6.3 Internal Roads & Ancillary Works,A6640,"Place, Spread, and Compact Sub-base Course Material",1,START
6.3 Internal Roads & Ancillary Works,A6650,"Place, Spread, and Compact Base Course Material",1,START
6.3 Internal Roads & Ancillary Works,A6660,Conduct Field Density Tests for Sub-base and Base Course Layers,1,Place
6.3 Internal Roads & Ancillary Works,A6670,Apply Prime Coat to Base Course,1,Conduct Field Density Tests for Sub-base and Base Course Layers
6.3 Internal Roads & Ancillary Works,A6680,Apply Tack Coat,1,Apply Prime Coat to Base Course
6.3 Internal Roads & Ancillary Works,A6690,Lay and Compact Asphaltic Concrete - Binder Course,1,Apply Tack Coat
6.3 Internal Roads & Ancillary Works,A6700,Lay and Compact Asphaltic Concrete - Wearing Course,1,Pour Concrete for Kerbstones and Gutters
6.3 Internal Roads & Ancillary Works,A6710,Ancillary Concrete & Structural Works**,1,START
6.3 Internal Roads & Ancillary Works,A6720,Install Formwork and Rebar for Kerbstones and Gutters,1,Lay and Compact Asphaltic Concrete - Binder Course
6.3 Internal Roads & Ancillary Works,A6730,Pour Concrete for Kerbstones and Gutters,1,Install Formwork and Rebar for Kerbstones and Gutters
6.3 Internal Roads & Ancillary Works,A6740,Construct Concrete Footpaths and Sidewalks,1,Lay and Compact Asphaltic Concrete - Wearing Course
6.3 Internal Roads & Ancillary Works,A6750,Construct Foundations for Street Lighting Poles and Signage,1,Construct Concrete Footpaths and Sidewalks
6.3 Internal Roads & Ancillary Works,A6760,Construct Concrete Pedestals & Supports for Ancillary Structures,1,Construct Foundations for Street Lighting Poles and Signage
6.3 Internal Roads & Ancillary Works,A6770,Ancillary Finishes & MEP**,1,START
6.3 Internal Roads & Ancillary Works,A6780,Erect Street Lighting Poles and Install Luminaires,1,Construct Concrete Pedestals & Supports for Ancillary Structures
6.3 Internal Roads & Ancillary Works,A6790,Install and Terminate Electrical Cables for Street Lighting,1,Erect Street Lighting Poles and Install Luminaires
6.3 Internal Roads & Ancillary Works,A6800,Install Roadside Guardrails and Safety Barriers,1,Install and Terminate Electrical Cables for Street Lighting
6.3 Internal Roads & Ancillary Works,A6810,Erect Permanent Road Signage,1,Install Roadside Guardrails and Safety Barriers
6.3 Internal Roads & Ancillary Works,A6820,Apply Thermoplastic Road Markings and Lane Delineation,1,Erect Permanent Road Signage
6.3 Internal Roads & Ancillary Works,A6830,Install Fencing and Gates along Road Corridors,1,Apply Thermoplastic Road Markings and Lane Delineation
6.3 Internal Roads & Ancillary Works,A6840,Landscaping & Final Reinstatement**,1,START
6.3 Internal Roads & Ancillary Works,A6850,Spread Stockpiled Topsoil to Verges and Landscaped Areas,1,Install Fencing and Gates along Road Corridors
6.3 Internal Roads & Ancillary Works,A6860,"Carry out Final Landscaping, Seeding, and Planting",1,START
6.3 Internal Roads & Ancillary Works,A6870,Final Grading and Site Clean-up,1,Carry out Final Landscaping
6.3 Internal Roads & Ancillary Works,A6880,"Testing, Commissioning & Handover**",1,START
6.3 Internal Roads & Ancillary Works,A6890,Test and Commission Street Lighting System,1,Final Grading and Site Clean-up
6.3 Internal Roads & Ancillary Works,A6900,Conduct Joint Site Inspection and Walkdown with Engineer/Client,1,Test and Commission Street Lighting System
6.3 Internal Roads & Ancillary Works,A6910,Rectify Punch List Items,1,Conduct Joint Site Inspection and Walkdown with Engineer/Client
6.3 Internal Roads & Ancillary Works,A6920,Prepare and Submit As-Built Drawings and Handover Documentation,1,Rectify Punch List Items
6.3 Internal Roads & Ancillary Works,A6930,"Demobilize all Remaining Plant, Equipment, and Personnel",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6940,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6950,Initial Coordination & Planning**,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6960,Establish and Agree on Interface Management Plan (IMP) with all System Contractors,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6970,"Conduct Kick-Off Interface Workshops with Track, Power, and Signaling Contractors",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6980,Develop and Agree on Master Interface Control Document (ICD) Framework,1,Conduct Kick-Off Interface Workshops with Track
"7.1 Interface with System Contractors (Track, Power, Signaling)",A6990,Establish and Agree on a Common Data Environment (CDE) for Document Exchange,1,Develop and Agree on Master Interface Control Document (ICD) Framework
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7000,Design & Engineering Interface**,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7010,Receive and Review System Contractors' 'Approved for Construction' (AFC) Drawings,1,Establish and Agree on a Common Data Environment (CDE) for Document Exchange
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7020,"Incorporate System Requirements into Civil/Structural Designs (e.g., duct banks, equipment rooms, cable routes)",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7030,Develop and Submit Combined Services Drawings (CSD) for System Contractor Review,1,Incorporate System Requirements into Civil/Structural Designs (e.g.
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7040,Conduct CSD Clash Detection and Resolution Workshops,1,Develop and Submit Combined Services Drawings (CSD) for System Contractor Review
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7050,Obtain Final Approval of all Interface CSDs from relevant parties,1,Conduct CSD Clash Detection and Resolution Workshops
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7060,Pre-Construction & Mobilization Interface**,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7070,Coordinate and Agree on Detailed Phased Installation Schedule with all System Contractors,1,Obtain Final Approval of all Interface CSDs from relevant parties
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7080,"Define and Agree on Site Access Protocols, Laydown Areas, and Permit to Work Procedures",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7090,"Jointly Review and Approve Health, Safety & Environmental (HSE) Interface Plans",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7100,Construction Interface & Area Handover**,1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7110,Survey and Set Out locations for System Contractor Equipment Foundations and Embedments,1,Jointly Review and Approve Health
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7120,"Construct Foundations, Plinths, and **Pedestals** for Trackside Equipment",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7130,"Construct Foundations, Plinths, and **Pedestals** for Power Supply Equipment (e.g., substations, transformers)",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7140,"Construct Foundations, Plinths, and **Pedestals** for Signaling Equipment (e.g., signal posts, location cases)",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7150,"Install required embedded items (conduits, cable trays, earthing) as per approved CSDs",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7160,Conduct Joint Quality Inspection and Acceptance of Civil Interface Works,1,Install required embedded items (conduits
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7170,Formal Handover of Certified Work Area to Track Contractor,1,Conduct Joint Quality Inspection and Acceptance of Civil Interface Works
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7180,Formal Handover of Certified Work Area to Power Contractor,1,Formal Handover of Certified Work Area to Track Contractor
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7190,Formal Handover of Certified Work Area to Signaling Contractor,1,Formal Handover of Certified Work Area to Power Contractor
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7200,"Testing, Commissioning & Final Interface**",1,START
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7210,Provide Site Support and Access during System Installation and Testing Phases (Level of Effort),1,Formal Handover of Certified Work Area to Signaling Contractor
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7220,Participate in Joint Inspections during System Integration Testing (SIT),1,Provide Site Support and Access during System Installation and Testing Phases (Level of Effort)
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7230,Manage and Close-Out Interface-Related Defects and Punch List Items,1,Participate in Joint Inspections during System Integration Testing (SIT)
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7240,Compile and Submit As-Built Records for all Physical Interface Points,1,Manage and Close-Out Interface-Related Defects and Punch List Items
"7.1 Interface with System Contractors (Track, Power, Signaling)",A7250,Achieve Final Sign-off on Interface Completion from all System Contractors,1,Compile and Submit As-Built Records for all Physical Interface Points
"7.2 Testing, Commissioning Support & Handover",A7260,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
"7.2 Testing, Commissioning Support & Handover",A7270,Preparation & Planning Phase**,1,START
"7.2 Testing, Commissioning Support & Handover",A7280,Develop and Submit Overall Testing & Commissioning Strategy and Plan,1,START
"7.2 Testing, Commissioning Support & Handover",A7290,Prepare and Submit System-Specific Pre-Commissioning Procedures & ITPs (Inspection and Test Plans),1,Develop and Submit Overall Testing & Commissioning Strategy and Plan
"7.2 Testing, Commissioning Support & Handover",A7300,Prepare and Submit System-Specific Commissioning and Start-up Procedures,1,Prepare and Submit System-Specific Pre-Commissioning Procedures & ITPs (Inspection and Test Plans)
"7.2 Testing, Commissioning Support & Handover",A7310,Compile and Submit Draft Operation & Maintenance (O&M) Manuals for Review,1,Prepare and Submit System-Specific Commissioning and Start-up Procedures
"7.2 Testing, Commissioning Support & Handover",A7320,Define and Agree on Handover Protocol and Documentation Requirements with Client,1,Compile and Submit Draft Operation & Maintenance (O&M) Manuals for Review
"7.2 Testing, Commissioning Support & Handover",A7330,Procure and Calibrate Specialist Testing Equipment,1,Define and Agree on Handover Protocol and Documentation Requirements with Client
"7.2 Testing, Commissioning Support & Handover",A7340,Pre-Commissioning & Static Testing Phase**,1,START
"7.2 Testing, Commissioning Support & Handover",A7350,Achieve Mechanical Completion (MC) on a System-by-System Basis,1,Procure and Calibrate Specialist Testing Equipment
"7.2 Testing, Commissioning Support & Handover",A7360,Conduct Joint Construction Punch-Listing Walkdowns with Client/Engineer,1,Achieve Mechanical Completion (MC) on a System-by-System Basis
"7.2 Testing, Commissioning Support & Handover",A7370,Rectify all 'Category A' Punch List Items (Preventing Commissioning),1,Conduct Joint Construction Punch-Listing Walkdowns with Client/Engineer
"7.2 Testing, Commissioning Support & Handover",A7380,"Perform Static & Dead System Checks (e.g., Cable Continuity/Megger Tests, Pipe Pressure/Hydro Tests)",1,START
"7.2 Testing, Commissioning Support & Handover",A7390,Complete and Sign-Off all Pre-Commissioning ITPs and Checksheets,1,Perform Static & Dead System Checks (e.g.
"7.2 Testing, Commissioning Support & Handover",A7400,Issue System-Specific Mechanical Completion Certificates (MCC),1,Complete and Sign-Off all Pre-Commissioning ITPs and Checksheets
"7.2 Testing, Commissioning Support & Handover",A7410,Commissioning & Dynamic Testing Phase**,1,START
"7.2 Testing, Commissioning Support & Handover",A7420,System Energization and First Start-up (on a System-by-System Basis),1,Issue System-Specific Mechanical Completion Certificates (MCC)
"7.2 Testing, Commissioning Support & Handover",A7430,"Perform Dynamic & Live System Functional Tests (e.g., Loop Tuning, Equipment Start/Stop, Sequence Checks)",1,START
"7.2 Testing, Commissioning Support & Handover",A7440,Conduct System Integration Testing (SIT) to Verify Interface Functionality Between Systems,1,Perform Dynamic & Live System Functional Tests (e.g.
"7.2 Testing, Commissioning Support & Handover",A7450,"Conduct Performance & Endurance Testing (e.g., Trial Operations, Load Bank Testing)",1,START
"7.2 Testing, Commissioning Support & Handover",A7460,Identify and Log Commissioning-Related Punch List Items,1,Conduct Performance & Endurance Testing (e.g.
"7.2 Testing, Commissioning Support & Handover",A7470,Rectify all Outstanding Punch List Items,1,Identify and Log Commissioning-Related Punch List Items
"7.2 Testing, Commissioning Support & Handover",A7480,Handover & Completion Phase**,1,START
"7.2 Testing, Commissioning Support & Handover",A7490,Post-Completion & Project Close-Out**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7500,WBS: 7.3 As-Built Documentation & Contract Demobilization**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7510,GENERATED ACTIVITY LIST (LOGICAL SEQUENCE):**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7520,As-Built & Handover Documentation**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7530,"Compile all field survey data, red-line markups, and quality inspection records.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7540,"Prepare and draft As-Built drawings (Civil, Structural, Architectural).",1,START
7.3 As-Built Documentation & Contract Demobilization,A7550,"Prepare and draft As-Built drawings (MEP, Utilities, and Specialist Systems).",1,START
7.3 As-Built Documentation & Contract Demobilization,A7560,"Compile all supplier/subcontractor warranties, guarantees, and material certificates.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7570,Compile all Testing and Commissioning reports into a final handover package.,1,Compile all supplier/subcontractor warranties
7.3 As-Built Documentation & Contract Demobilization,A7580,Prepare draft Operation & Maintenance (O&M) Manuals.,1,Compile all Testing and Commissioning reports into a final handover package.
7.3 As-Built Documentation & Contract Demobilization,A7590,Consolidate and submit the complete As-Built and O&M documentation package for Client/Engineer review.,1,Prepare draft Operation & Maintenance (O&M) Manuals.
7.3 As-Built Documentation & Contract Demobilization,A7600,Incorporate Client/Engineer comments on all submitted documentation.,1,Consolidate and submit the complete As-Built and O&M documentation package for Client/Engineer review.
7.3 As-Built Documentation & Contract Demobilization,A7610,"Submit final, approved As-Built drawings and Handover documentation.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7620,Site Demobilization & Reinstatement**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7630,Prepare and submit the Site Demobilization & Reinstatement Plan for approval.,1,Compile all field survey data
7.3 As-Built Documentation & Contract Demobilization,A7640,Conduct final joint site inspection (walk-down) with Client/Engineer to generate a final punch list (snag list).,1,Prepare and submit the Site Demobilization & Reinstatement Plan for approval.
7.3 As-Built Documentation & Contract Demobilization,A7650,Rectify all items on the final punch list to the satisfaction of the Engineer.,1,Conduct final joint site inspection (walk-down) with Client/Engineer to generate a final punch list (snag list).
7.3 As-Built Documentation & Contract Demobilization,A7660,"Dismantle and remove all temporary site offices, welfare facilities, and storage containers.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7670,"Demobilize and remove all contractor plant, equipment, and machinery from the site.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7680,"Disconnect and remove all temporary utilities (power, water, drainage).",1,START
7.3 As-Built Documentation & Contract Demobilization,A7690,"Remove all surplus construction materials, scrap, and waste from the site.",1,START
7.3 As-Built Documentation & Contract Demobilization,A7700,Complete final site grading and reinstatement as per contract requirements.,1,Remove all surplus construction materials
7.3 As-Built Documentation & Contract Demobilization,A7710,Obtain formal sign-off for punch list completion and site reinstatement.,1,Complete final site grading and reinstatement as per contract requirements.
7.3 As-Built Documentation & Contract Demobilization,A7720,Contract & Commercial Close-Out**,1,START
7.3 As-Built Documentation & Contract Demobilization,A7730,Apply for and obtain the Certificate of Substantial Completion / Taking-Over Certificate.,1,Obtain formal sign-off for punch list completion and site reinstatement.
7.3 As-Built Documentation & Contract Demobilization,A7740,Prepare and submit the draft Final Account and application for final payment.,1,Apply for and obtain the Certificate of Substantial Completion / Taking-Over Certificate.
7.3 As-Built Documentation & Contract Demobilization,A7750,Negotiate and agree on the Final Account with the Client/Commercial team.,1,Prepare and submit the draft Final Account and application for final payment.
7.3 As-Built Documentation & Contract Demobilization,A7760,Submit all required documentation for the release of retention monies.,1,Negotiate and agree on the Final Account with the Client/Commercial team.
7.3 As-Built Documentation & Contract Demobilization,A7770,Obtain the Final Acceptance Certificate (FAC) from the Client.,1,Submit final
7.3 As-Built Documentation & Contract Demobilization,A7780,Secure the release of all performance bonds and bank guarantees.,1,Obtain the Final Acceptance Certificate (FAC) from the Client.
